id;First name;family name 1;family name 2;Published name A;Published name B shorter;Position;Mainstream Media Source complete name;Mainstream Media Source name to show;Domain clean para Jonny
1000000001;Gary;Knell;;Gary Knell;G. Knell;President & CEO;NPR;npr.org;www.npr.org
1000000002;Arianna;Huffington;;Arianna Huffington;A. Huffington;Editor;The Huffington Post;huffingtonpost.com;www.huffingtonpost.com
1000000003;Jill;Abramson;;Jill Abramson;J. Abramson;Editor;The New York Times;nytimes.com;www.nytimes.com
1000000004;Gerard;Baker;;Gerard Baker;G. Baker;Editor;The Wall Street Journal;wsj.com;online.wsj.com
1000000005;Martin;Baron;;Martin Baron;M. Baron;Editor;The Washington Post;washingtonpost.com;www.washingtonpost.com
1000000006;Jeff;Fager;;Jeff Fager;J. Fager;Chairman;CBS News;cbsnews.com;www.cbsnews.com
1000000007;Roger;Ailes;;Roger Ailes;R. Ailes;Chairman & CEO;FOX News;foxnews.com;www.foxnews.com
1000000008;Patricia;Fili-Krushel;;Patricia Fili-Krushel;P. Fili-Krushel;Chairman of NBCUniversal News Group;NBC News;nbcnews.com;www.nbcnews.com
1000000009;Patricia;Fili-Krushel;;Patricia Fili-Krushel;P. Fili-Krushel;Chairman of NBCUniversal News Group;CNBC;cnbc.com;www.cnbc.com
1000000010;Jeff;Zucker;;Jeff Zucker;J. Zucker;President;CNN;cnn.com;edition.cnn.com
1000000011;David;Remnick;;David Remnick;D. Remnick;Edtor;The New Yorker;newyorker.com;www.newyorker.com
1000000012;David;Daley;;David Daley;D. Daley;Editor;Salon;salon.com;www.salon.com
1000000013;Paul;Lee;;Paul Lee;P. Lee;President;ABC (American Broadcasting Company);abcnews.com;abcnews.go.com
1000000014;David;Plotz;;David Plotz;D. Plotz;Editor;Slate (Magazine);slate.com;www.slate.com
1000000015;Paul S.;Mason;;Paul S. Mason;P.S. Mason;President & CEO;Link TV;linktv.org;www.linktv.org
1000000016;Michel;Chossudovsky;;Michel Chossudovsky;M. Chossudovsky;Editor;Centre for Research on Globalization;globalresearch.ca;www.globalresearch.ca
1000000017;John F. ;Harris;;John F.  Harris;J.F. Harris;Editor-in-Chief;Politico;politico.com;www.politico.com
1000000018;David;Callaway ;;David Callaway ;D. Callaway ;Editor-in-Chief;USA today;usatoday.com/news;www.usatoday.com
1000000019;Stephen;Engelberg;;Stephen Engelberg;S. Engelberg;Editor-in-Chief;ProPublica;propublica.org;www.propublica.org
1000000021;Stephen J.;Adler;;Stephen J. Adler;S.J. Adler;Editor-in-Chief;Reuters News;reuters.com;www.reuters.com
1000000022;Tina;Brown;;Tina Brown;T. Brown;Editor;The Daily Beast;thedailybeast.com;www.thedailybeast.com
1000000023;Richard;Stengel;;Richard Stengel;R. Stengel;Managing Editor;Time Magazine;time.com;www.time.com
1000000024;Brian;McGrory;;Brian McGrory;B. McGrory;Editor;The Boston Globe;bostonglobe.com;www.boston.com
1000000025;Eddy;Hartenstein;;Eddy Hartenstein;E. Hartenstein;CEO;Los Angeles Times;latimes.com;www.latimes.com
1000000026;David;Boardman;;David Boardman;D. Boardman;Editor;The Seattle Times;seattletimes.com;www.seattletimes.com
1000000026;Gerould W.;Kern;;Gerould W. Kern;G.W. Kern;Editor;The Chicago Tribune;chicagotribune.com;www.chicagotribune.com
44000000001;Tony;Hall;of Birkenhead;Tony Hall;T. Hall;Director-General;BBC;bbc.co.uk/news;www.bbc.co.uk
44000000002;John;Micklethwait;;John Micklethwait;J. Micklethwait;Editor;The Economist;economist.com;www.economist.com
44000000003;Lionel;Barber;;Lionel Barber;L. Barber;Editor;Financial Times;ft.com;www.ft.com
44000000004;John;Witherow;;John Witherow;J. Witherow;Editor;The Times;thetimes.co.uk;www.thetimes.co.uk
44000000005;Alan;Rusbridger;;Alan Rusbridger;A. Rusbridger;Editor;The Guardian;theguardian.com;www.theguardian.com
44000000006;Amol;Rajan;;Amol Rajan;A. Rajan;Editor;The Independent;independent.co.uk;www.independent.co.uk
33000000001;Lucian;Sârb;;Lucian Sârb;L. Sârb;Director of News and Programmes;Euronews;euronews.com;www.euronews.com
33000000002;Marie-Christine;Saragosse;;Marie-Christine Saragosse;M.C. Saragosse;Président-directeur général;France24;france24.com;www.france24.com
33000000003A;Serge;Halimi;;Serge Halimi;S. Halimi;Directeur de la rédaction;Le Monde Diplomatique (En.Ed.);mondediplo.com;mondediplo.com
33000000003B;Serge;Halimi;;Serge Halimi;S. Halimi;Directeur de la rédaction;Le Monde Diplomatique;mondediplo.com;www.monde-diplomatique.fr
33000000004;Louis;Dreyfus;;Louis Dreyfus;L. Dreyfus;Directeur de publication;Le Monde;lemonde.fr;www.lemonde.fr
33000000005;Alexis;Brézet;;Alexis Brézet;A. Brézet;Directeur de la rédaction;Le Figaro;lefigaro.fr;www.lefigaro.fr
